Date & Time,Title Category
24/9/2024 0:07,AGM
29/7/2024 20:12,Full Yearly Results
15/7/2024 18:35,Notification of Results
29/4/2024 19:40,Business Update
15/4/2024 18:04,Business Update
29/1/2024 19:32,Half Yearly Results
15/1/2024 17:35,Notification of Results
27/10/2023 19:33,Business Update
27/10/2023 19:29,AGM
13/10/2023 18:14,Business Update
27/7/2023 21:30,Full Yearly Results
27/7/2023 21:54,CD
13/7/2023 18:05,Notification of Results
26/4/2023 20:49,Business Update
12/4/2023 18:06,Business Update
27/1/2023 19:29,Half Yearly Results
13/1/2023 17:35,Notification of Results
27/10/2022 19:12,Business Update
27/10/2022 19:09,AGM
13/10/2022 18:31,Business Update
28/7/2022 20:19,Full Yearly Results
14/7/2022 17:41,Notification of Results
28/4/2022 20:16,Business Update
14/4/2022 17:32,Business Update
25/1/2022 18:58,Half Yearly Results
11/1/2022 17:31,Notification of Results
28/10/2021 18:05,Business Update
28/10/2021 18:04,AGM
14/10/2021 17:42,Business Update
29/7/2021 21:41,Full Yearly Results
15/7/2021 18:31,Notification of Results
26/4/2021 19:45,Business Update
12/4/2021 19:10,Business Update
28/1/2021 22:03,Half Yearly Results
14/1/2021 18:17,Notification of Results
