Date & Time,Title Category
10/10/2024 7:58,CD
31/7/2024 6:36,Half Yearly Results
31/7/2024 6:37,CD
19/7/2024 17:28,Notification of Results
30/4/2024 18:47,AGM
23/4/2024 6:35,Business Update
1/2/2024 6:45,Full Yearly Results
1/2/2024 6:53,CD
15/1/2024 17:36,Notification of Results
26/10/2023 5:38,Business Update
26/7/2023 6:06,Half Yearly Results
26/7/2023 6:13,CD
5/7/2023 18:23,Notification of Results
28/4/2023 6:04,Pref Offering
26/4/2023 23:09,Pref Offering
26/4/2023 7:03,Business Update
26/4/2023 16:23,AGM
17/4/2023 23:22,Business Update
16/2/2023 8:11,CD
30/1/2023 22:44,Full Yearly Results
9/1/2023 18:24,Notification of Results
26/10/2022 6:52,Business Update
17/10/2022 17:20,Business Update
27/7/2022 7:26,Half Yearly Results
18/7/2022 23:00,Notification of Results
29/4/2022 20:02,AGM
27/4/2022 7:11,Business Update
19/4/2022 21:44,Business Update
27/1/2022 6:06,Full Yearly Results
23/1/2022 20:07,Notification of Results
1/11/2021 6:07,Business Update
27/10/2021 7:01,Business Update
19/10/2021 19:20,Business Update
26/8/2021 7:25,Pref Offering
24/8/2021 6:04,Pref Offering
10/8/2021 7:14,Pref Offering
27/7/2021 8:21,CD
23/7/2021 6:06,Half Yearly Results
9/7/2021 17:17,Notification of Results
6/5/2021 9:17,CD
23/4/2021 18:17,Business Update
22/4/2021 11:30,AGM
22/4/2021 6:04,Business Update
15/4/2021 8:20,Business Update
20/1/2021 7:14,Full Yearly Results
6/1/2021 17:31,Notification of Results
